url,label,js_len,js_obf_len,js_external_count,sslBypassUsed,usedProxy,finalUrlTried
 http://103.142.102.1:8888/supershell/login/,1,42484,0,1,0,0, http://103.142.102.1:8888/supershell/login/
 http://107.173.30.188:8888/supershell/login/,1,13361,13156,0,0,0, http://107.173.30.188:8888/supershell/login/
 http://114.132.226.247:8082/login/index,1,452,0,0,0,0, http://114.132.226.247:8082/login/index
 http://107.172.131.122:8888/supershell/login/,1,13361,13156,0,0,0, http://107.172.131.122:8888/supershell/login/
 http://101.133.172.90:8787/supershell/login,1,13361,13156,0,0,0, http://101.133.172.90:8787/supershell/login
 http://116.205.118.94:8888/supershell/login,1,13361,13156,0,0,0, http://116.205.118.94:8888/supershell/login
 http://110.72.96.130:60001/supershell/login,1,13101,12896,0,0,0, http://110.72.96.130:60001/supershell/login
 http://111.231.144.231:8888/supershell/login/,1,13361,13156,0,0,0, http://111.231.144.231:8888/supershell/login/
 http://113.125.131.151:8888/supershell/login,1,13101,12896,0,0,0, http://113.125.131.151:8888/supershell/login
 http://118.89.66.70:8888/supershell/login,1,13361,13156,0,0,0, http://118.89.66.70:8888/supershell/login
 http://129.226.213.170:8888/supershell/login,1,13361,13156,0,0,0, http://129.226.213.170:8888/supershell/login
 http://101.35.228.105:8888/supershell/login,1,13361,13156,0,0,0, http://101.35.228.105:8888/supershell/login
 http://113.44.66.184:8000/supershell/login,1,13361,13156,0,0,0, http://113.44.66.184:8000/supershell/login
 http://117.72.119.63:7088/supershell/login/,1,13361,13156,0,0,0, http://117.72.119.63:7088/supershell/login/
 http://114.55.250.233:8888/supershell/login,1,13361,13156,0,0,0, http://114.55.250.233:8888/supershell/login
 http://118.178.89.212:8888/supershell/login/,1,13361,13156,0,0,0, http://118.178.89.212:8888/supershell/login/
 http://154.201.71.218,1,1177,1137,5,0,0, http://154.201.71.218
 http://156.238.243.161:20001/supershell/login,1,13361,13156,0,0,0, http://156.238.243.161:20001/supershell/login
 http://152.42.180.208:8875/supershell/login/,1,13361,13156,0,0,0, http://152.42.180.208:8875/supershell/login/
 http://101.43.62.241:8888/supershell/login,1,13361,13156,0,0,0, http://101.43.62.241:8888/supershell/login
 http://185.201.252.32,1,716,716,0,0,0, http://185.201.252.32
 http://185.231.205.75/pdown,1,101284,101284,0,0,0, http://185.231.205.75/pdown
 http://185.208.158.96/mzmtrpwoe113eelxn/Login.php,1,0,0,0,0,0, http://185.208.158.96/mzmtrpwoe113eelxn/Login.php
 http://101.201.37.74:8888/supershell/login,1,13361,13156,0,0,0, http://101.201.37.74:8888/supershell/login
 http://217.156.66.15/gnathopoda.php,1,0,0,0,0,0, http://217.156.66.15/gnathopoda.php
 http://1866callabe.com/ponyb/gate.php,1,0,0,0,0,0, http://1866callabe.com/ponyb/gate.php
 http://182.255.44.86:7777/supershell/login,1,13361,13156,0,0,0, http://182.255.44.86:7777/supershell/login
 http://213.209.150.234/,1,0,0,0,0,0, http://213.209.150.234/
 http://20.89.182.93:8888/supershell/login/,1,13361,13156,0,0,0, http://20.89.182.93:8888/supershell/login/
 http://217.156.66.15/index.php,1,0,0,0,0,0, http://217.156.66.15/index.php
 http://23.94.25.236:8888/supershell/login,1,13361,13156,0,0,0, http://23.94.25.236:8888/supershell/login
